"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KPADIOAM_00047",1441.24897953187,4.21742539039625,0.100233565101055,42.0759791008556,0,0
"KPADIOAM_00065",3252.10266950592,-3.74512857599893,0.0735307414358342,-50.932827588405,0,0
"KPADIOAM_00066",2595.76519470657,-4.20507907960692,0.0784184154894022,-53.623617021122,0,0
"KPADIOAM_00067",1837.02965342732,-4.95312643136398,0.107606303660237,-46.0300768903214,0,0
"KPADIOAM_00086",8164.29158355571,-2.64002121788841,0.0623683862185562,-42.3294777683847,0,0
"KPADIOAM_00124",1809.52567405873,4.96412083866628,0.106109525510416,46.782989696613,0,0
"KPADIOAM_00125",1404.52324902606,4.84595995027635,0.109361981896657,44.3111935814732,0,0
"KPADIOAM_00164",1493.82519217351,4.31867748716115,0.103018171928834,41.9215115770499,0,0
"KPADIOAM_00165",1941.5276692688,4.20560132127604,0.0963508350990404,43.6488310345524,0,0
"KPADIOAM_00201",2726.74785317932,3.19515882794258,0.0752515227480674,42.4597232223402,0,0
"KPADIOAM_00202",3642.67576665903,3.51432015028812,0.078001310924029,45.0546293216913,0,0
"KPADIOAM_00212",1428.78631777434,3.54166725120945,0.0882693298856165,40.1234183583234,0,0
"KPADIOAM_00223",2717.14994917297,-2.76827409353597,0.0673360494886136,-41.111323199976,0,0
"KPADIOAM_00251",1578.68601896351,-3.39383677838743,0.0829949130466153,-40.8921059593283,0,0
"KPADIOAM_00268",1772.30572880694,-4.16942615846523,0.0911403317759064,-45.7473225872923,0,0
"KPADIOAM_00269",5155.92630829996,-4.80255613059986,0.0717579501332672,-66.9271644700087,0,0
"KPADIOAM_00303",2384.12026689651,-2.72523291969604,0.0718464111096051,-37.9313716246532,0,0
"KPADIOAM_00373",7029.62941926612,-2.1173127062636,0.0555646833550832,-38.1053679858665,0,0
"KPADIOAM_00395",52600.9000893097,5.07558695082601,0.06420198159261,79.056546619275,0,0
"KPADIOAM_00418",17280.4367791757,-1.92801006008682,0.0511124630012015,-37.7209382385173,0,0
"KPADIOAM_00449",7970.86885194217,2.54263947801324,0.0577774021431532,44.0075078438698,0,0
"KPADIOAM_00468",15248.2320322042,5.94641985630995,0.0749213392429033,79.3688409256939,0,0
"KPADIOAM_00486",9730.92777712033,6.00930615266264,0.0880276462829625,68.2661232738847,0,0
"KPADIOAM_00487",3004.55395227908,5.53529777654732,0.102872768792553,53.8072207204755,0,0
"KPADIOAM_00488",4752.26536523248,5.95666833249432,0.100149298588594,59.4778836840772,0,0
"KPADIOAM_00489",2436.78706385439,6.10821054180637,0.115618014627068,52.8309585794974,0,0
"KPADIOAM_00496",31508.2699824589,2.12156222821442,0.0532720454068555,39.8250566880129,0,0
"KPADIOAM_00521",56465.8129298834,-2.30020949310676,0.0563384353924983,-40.8284233859473,0,0
"KPADIOAM_00523",12948.9896962579,-2.57225068109035,0.0620388092879118,-41.4619608373359,0,0
"KPADIOAM_00524",15855.1317474316,-2.35541329811557,0.0529684000070095,-44.4682734952137,0,0
"KPADIOAM_00527",25742.3041859384,-2.96812886253959,0.0545280481724513,-54.4330663212544,0,0
"KPADIOAM_00528",83090.2056948508,-2.74424490259371,0.0559863344231495,-49.016334626455,0,0
"KPADIOAM_00529",26042.8281076634,-2.792391408239,0.0743515438392986,-37.5566029170073,0,0
"KPADIOAM_00530",7156.18620829454,-2.64329756152864,0.0571323320398832,-46.266229071192,0,0
"KPADIOAM_00531",33563.9669533163,-2.51039414043334,0.0578021353265418,-43.4308200942986,0,0
"KPADIOAM_00532",24169.6532883547,-2.64974913903194,0.0579529418182198,-45.7224267810833,0,0
"KPADIOAM_00533",25700.0871865337,-2.35516570252673,0.051673830467568,-45.577532790121,0,0
"KPADIOAM_00535",12289.0571066785,-2.76695787793833,0.0702097681150501,-39.4098706237602,0,0
"KPADIOAM_00536",20558.5798071289,-2.62576107135419,0.057226684204979,-45.8835088531258,0,0
"KPADIOAM_00537",37195.185816668,-2.56139430865088,0.0619424711189852,-41.3511805773893,0,0
"KPADIOAM_00538",17706.1515820243,-2.61550065199563,0.0540540159574936,-48.3867961642734,0,0
"KPADIOAM_00539",31875.2983401325,-2.58521867109929,0.0613058864574905,-42.1691752698475,0,0
"KPADIOAM_00543",15680.3161306747,-2.46673726539768,0.0622719756357684,-39.6123174222982,0,0
"KPADIOAM_00544",15564.9840845056,-2.64696281694254,0.0556203375740462,-47.5898373219813,0,0
"KPADIOAM_00549",6167.37593199081,-2.59749884200496,0.0681404368260303,-38.1197855927552,0,0
"KPADIOAM_00553",34716.1064951641,-2.33286864860801,0.0512524754159589,-45.51718974888,0,0
"KPADIOAM_00590",6401.17581177395,-2.06855331491848,0.053978002401579,-38.3221538938976,0,0
"KPADIOAM_00669",29254.1242547088,-4.04729208952398,0.0610785203645444,-66.2637546778786,0,0
"KPADIOAM_00670",18619.7828698599,-3.03125635295349,0.0658074030633879,-46.062543298262,0,0
"KPADIOAM_00814",161403.834229711,1.98238540289353,0.048658268328292,40.7409772480721,0,0
"KPADIOAM_00872",23981.0077664959,2.43370212317943,0.0515700230410402,47.1921860737323,0,0
"KPADIOAM_00875",15894.8502883427,-4.19770480478386,0.0665914349145266,-63.0367075010746,0,0
"KPADIOAM_00876",21496.5188037192,-4.40283812623904,0.0631086337869154,-69.7660187210692,0,0
"KPADIOAM_00940",2458.20635828768,2.91828142575224,0.0749735646994509,38.9241386274063,0,0
"KPADIOAM_00948",4081.11678202945,-3.51566368568563,0.0708606071441311,-49.6137956951841,0,0
"KPADIOAM_00949",4764.30152431568,-2.44936000508963,0.0604519119670997,-40.5174944081615,0,0
"KPADIOAM_01006",30230.1663211947,-2.64152362931774,0.0566499105010791,-46.6289109012348,0,0
"KPADIOAM_01007",25714.5908399128,-2.57429632690317,0.0574890869165626,-44.7788696077119,0,0
"KPADIOAM_01008",109366.194218318,-2.90001615923697,0.0752118171205955,-38.5579855701007,0,0
"KPADIOAM_01009",50095.263034812,-3.11508640120412,0.049248629078693,-63.2522459909821,0,0
"KPADIOAM_01050",2196.25970055177,5.69032152742718,0.107545168303924,52.9109918852541,0,0
"KPADIOAM_01052",3235.36820550363,5.23143716195162,0.0860091676493199,60.8241807813029,0,0
"KPADIOAM_01062",1350.00722739833,4.50178124466742,0.102248095147468,44.0280206508951,0,0
"KPADIOAM_01063",2757.25769582806,4.57612219832701,0.0832307468492004,54.9811502547027,0,0
"KPADIOAM_01099",923.698842203101,4.70877115477367,0.123667471742689,38.0760687383589,0,0
"KPADIOAM_01136",11678.1156508953,-2.0348193734552,0.0514226063500053,-39.5705219530357,0,0
"KPADIOAM_01152",11289.9245214179,-2.28030558524934,0.0536280957087233,-42.5207264049545,0,0
"KPADIOAM_01179",22121.3332704743,4.33847742461907,0.0756651396132824,57.3378632061294,0,0
"KPADIOAM_01188",9978.54231965192,-4.48145092321197,0.0696144377449921,-64.3753087488573,0,0
"KPADIOAM_01189",18272.0485795997,-4.49695582485988,0.0716024758323996,-62.8044739037506,0,0
"KPADIOAM_01190",11839.5607264731,-5.72227271597267,0.0882263643679401,-64.8589880923626,0,0
"KPADIOAM_01191",16624.8974024188,-5.66404896371886,0.0767754028747155,-73.774265606416,0,0
"KPADIOAM_01192",17911.7810896819,-5.51460704708907,0.0689202468907806,-80.0143251928302,0,0
"KPADIOAM_01193",19436.3105607031,-5.26501125108062,0.0777881360789502,-67.6839877707952,0,0
"KPADIOAM_01194",10149.7134799725,-5.25939274647054,0.0913411894271158,-57.5796393659531,0,0
"KPADIOAM_01195",8064.03338465059,-5.37611015171704,0.0979957937443271,-54.8606215256893,0,0
"KPADIOAM_01196",27101.7661404905,-5.23877835936728,0.0618169061634514,-84.7466928466998,0,0
"KPADIOAM_01197",13871.0048800798,-4.88822540689731,0.0732026017056686,-66.7766622086983,0,0
"KPADIOAM_01198",13908.3649326301,-4.87872904874096,0.0752713846982345,-64.8151893086589,0,0
"KPADIOAM_01199",6710.2635783352,-3.71690621158491,0.0645703797142571,-57.5636418437264,0,0
"KPADIOAM_01200",9836.85657378171,-2.98594276245768,0.0558716746798067,-53.4428720737249,0,0
"KPADIOAM_01203",6609.97352133447,-2.42772387205887,0.0574829905422109,-42.2337781865427,0,0
"KPADIOAM_01204",4400.07163385875,-2.58994265306785,0.0611161489697982,-42.3773862837419,0,0
"KPADIOAM_01205",7805.43543861422,-2.51561455545556,0.053960522257217,-46.6195368433283,0,0
"KPADIOAM_01206",4382.00248438146,-3.10952378263884,0.0650580814187906,-47.7961187115598,0,0
"KPADIOAM_01207",8454.58874022861,-2.39084870334365,0.0550031058134519,-43.4675218423562,0,0
"KPADIOAM_01218",13773.3295145784,4.69013065287385,0.0745716149245497,62.8943151843935,0,0
"KPADIOAM_01316",20988.780370072,2.89057542775134,0.0729146423844595,39.6432778550857,0,0
"KPADIOAM_01365",3907.98229529027,6.97088753578589,0.122707124819142,56.8091506182731,0,0
"KPADIOAM_01366",1691.54157844045,5.12706184352244,0.104850507869194,48.8987792974612,0,0
"KPADIOAM_01370",6797.30561045813,-2.33687665205292,0.0583394235811217,-40.0565605315497,0,0
"KPADIOAM_01435",3052.50198340684,5.64565120070698,0.104643671343303,53.9511957888533,0,0
"KPADIOAM_01436",9518.662227269,3.45657491982592,0.0573851678934896,60.234639833093,0,0
"KPADIOAM_01437",27949.5044102614,3.71892612713254,0.0597821652066874,62.2079530621706,0,0
"KPADIOAM_01448",32175.7705884232,5.80052596550302,0.0874929949267036,66.2970329266058,0,0
"KPADIOAM_01496",1057.35239906087,3.52173419202128,0.0937907643803459,37.548837727132,0,0
"KPADIOAM_01500",14057.6871968997,7.75686181503242,0.101146018421448,76.6897396070665,0,0
"KPADIOAM_01514",3347.58774928277,-2.84988669249864,0.0652899181538297,-43.6497207085482,0,0
"KPADIOAM_01527",6991.10043313863,-3.67611959135937,0.0768977678137348,-47.8052835065881,0,0
"KPADIOAM_01528",4377.68190378421,-3.28701179610228,0.0681764316041298,-48.2133153461081,0,0
"KPADIOAM_01533",16526.1935559712,2.84703807749357,0.0527639042121111,53.9580631874484,0,0
"KPADIOAM_01541",1958.21615055151,3.94864939474537,0.0903899173308118,43.6846222604008,0,0
"KPADIOAM_01572",13982.7572938526,-2.11527665069971,0.0512411987899093,-41.2807799320313,0,0
"KPADIOAM_01578",12409.2610308095,3.65240179654097,0.0660094399936365,55.3315070828213,0,0
"KPADIOAM_01600",4683.51500571065,3.08610162811042,0.0600106216339075,51.4259233463213,0,0
"KPADIOAM_01617",2280.82193713833,4.83404595646838,0.107551581594583,44.9463028325364,0,0
"KPADIOAM_01632",11439.0134651169,5.60177701485002,0.0740433705507282,75.6553486582862,0,0
"KPADIOAM_01642",3742.09403044066,-2.5161087624984,0.0656804440905963,-38.3083396791259,0,0
"KPADIOAM_01651",2947.06832941689,-3.24150814345786,0.0706504352584808,-45.8809366368164,0,0
"KPADIOAM_01652",1849.51498319962,-3.19240301606587,0.0785667579141875,-40.6329992584484,0,0
"KPADIOAM_01678",2914.11527458815,-4.9737086440854,0.0963052496345945,-51.6452494849124,0,0
"KPADIOAM_01679",9527.76676861629,-4.60229341954915,0.0710033718346186,-64.817955832701,0,0
"KPADIOAM_01690",2769.80288089968,-3.03913046529857,0.0720573083828522,-42.1765749166091,0,0
"KPADIOAM_01697",6209.30346614786,3.12620169035485,0.0721458268838321,43.3317050394141,0,0
"KPADIOAM_01699",7398.46991794421,3.14983020310429,0.0763612073043131,41.2490885660261,0,0
"KPADIOAM_01704",1541.86670917795,3.7260933930051,0.0885900548753722,42.0599512919022,0,0
"KPADIOAM_01705",14616.0586650312,4.26350821998942,0.0771658358239299,55.2512413617537,0,0
"KPADIOAM_01709",3445.90183441178,7.42565250162402,0.14933125987005,49.7260420094622,0,0
"KPADIOAM_01711",2345.59070939598,7.30521794445107,0.164082461278126,44.5216258187914,0,0
"KPADIOAM_01712",3679.97473288927,7.43334129548733,0.139511550264532,53.281189130167,0,0
"KPADIOAM_01713",924.650200797441,4.33234554452682,0.114132724472924,37.958837524768,0,0
"KPADIOAM_01714",1219.49346347777,4.97726773629348,0.120343808442857,41.3587354488356,0,0
"KPADIOAM_01754",4953.12867201439,4.65224867125683,0.0737752166608823,63.0597764645208,0,0
"KPADIOAM_01826",8184.30147632807,-5.51853030526959,0.0713117677656717,-77.3859697799572,0,0
"KPADIOAM_01827",8806.87815961723,-6.04869706411052,0.105451851063951,-57.3597997861821,0,0
"KPADIOAM_01828",5482.49566757798,-5.4339862084253,0.0848145542398412,-64.0690298631873,0,0
"KPADIOAM_01831",2891.94438567262,2.97661094570158,0.0713523125640263,41.7170914121471,0,0
"KPADIOAM_01834",25663.1296207917,-2.13047549825391,0.0492858813353749,-43.2268925811978,0,0
"KPADIOAM_01875",2642.57408084775,3.11598978040727,0.0724930803394149,42.9832718628882,0,0
"KPADIOAM_01876",3407.96976061715,2.58609723804425,0.0664737606458529,38.9040308975747,0,0
"KPADIOAM_01895",33730.7020731673,-2.18518565571864,0.0568059902719527,-38.4675215634353,0,0
"KPADIOAM_01896",28504.0206840786,-2.79725108305903,0.0603566362389001,-46.3453773664111,0,0
"KPADIOAM_01901",63349.8189834896,3.08081799099555,0.0536289703016063,57.4468980789526,0,0
"KPADIOAM_01924",3842.31760092165,3.8282484438917,0.0677260347203765,56.5255069146978,0,0
"KPADIOAM_01976",3361.55847403445,2.32470536820663,0.0608214411128967,38.2218067456099,0,0
"KPADIOAM_02023",1731.87628259803,4.44008794988772,0.113128457164117,39.2481967949621,0,0
"KPADIOAM_02189",1545.55649045695,-3.2782786320447,0.0813064200427874,-40.3200464406071,0,0
"KPADIOAM_02242",23331.0850175631,2.43597790862863,0.0597438791896089,40.7736816167825,0,0
"KPADIOAM_02405",6798.11569392543,2.66022190833206,0.0620568800289454,42.8674774995334,0,0
"KPADIOAM_02417",6258.79433727008,2.45741898456998,0.0624216677249108,39.3680443688193,0,0
"KPADIOAM_02461",92137.0368992698,3.86931182458864,0.0658662163202778,58.7450143754109,0,0
"KPADIOAM_02464",9773.97017839168,5.65030092234348,0.0939669638038127,60.1307171543859,0,0
"KPADIOAM_02473",14142.268124768,6.41800257716238,0.0786653615080588,81.5861321187076,0,0
"KPADIOAM_02474",10189.8546340309,6.41683245885722,0.0835541570212232,76.7984824169468,0,0
"KPADIOAM_02475",11788.059623343,6.42125174392828,0.0785302909639161,81.7678333431717,0,0
"KPADIOAM_02476",5872.65890614488,6.6417652445348,0.0991695520110745,66.9738353138178,0,0
"KPADIOAM_02477",6787.75713267003,7.13457581159299,0.104737020386068,68.1189495872083,0,0
"KPADIOAM_02479",74281.3079890783,7.32735257456457,0.0845913713057664,86.6205673398875,0,0
"KPADIOAM_02481",2210.50443786008,5.55748452898886,0.108852133367822,51.0553569970885,0,0
"KPADIOAM_02614",1118.59863657418,4.3242862151411,0.106624718181506,40.5561326575319,0,0
"KPADIOAM_02630",1632.75545979476,5.53485078163183,0.134429814611243,41.1727918961878,0,0
"KPADIOAM_02638",7890.38881399616,-2.22665383354567,0.0546122163588763,-40.7720832810288,0,0
"KPADIOAM_02675",37369.7472520237,-2.45390500861138,0.0594184043754158,-41.2987362149139,0,0
"KPADIOAM_02677",2603.24045644099,-3.11308221425822,0.0795422083294939,-39.1374878776643,0,0
"KPADIOAM_02721",4257.40367376597,-2.33925595251826,0.0604431577235377,-38.7017495548104,0,0
"KPADIOAM_02738",2551.29357044904,5.01288404446764,0.100218054681123,50.0197699947161,0,0
"KPADIOAM_02855",2337.81447082389,-5.29841686413076,0.115515124553462,-45.8677327718985,0,0
"KPADIOAM_02856",4514.01970744277,-2.90970860427729,0.0632721503835629,-45.9871932064629,0,0
"KPADIOAM_02949",1584.8940276362,4.34929771486581,0.100361415637609,43.3363527928952,0,0
